"date","avg","min","max"
19510101,1,-3.1,3.7
19510102,1.6,0.3,2.8
19510103,1.1,-0.2,2.3
19510104,1.8,0.5,3.3
19510105,5.8,2.4,8.5
19510106,7.4,6,9
19510107,6.8,5.4,9.2
19510108,6,3.9,7.6
19510109,4,-0.3,6.5
19510110,2.6,-2.5,6.8
19510111,6.8,4.9,8.1
19510112,4.7,2.3,7.7
19510113,3.8,1.5,5.8
19510114,3.8,0.4,6.4
19510115,4.1,2.3,5.7
19510116,3.8,2,6.3
19510117,5.6,2.2,8.8
19510118,6,4.3,8
19510119,5.2,3.2,6.7
19510120,4.6,0.3,6.6
19510121,2.5,-0.1,5.1
19510122,5.6,2.5,7.5
19510123,5.2,2.3,7.3
19510124,2.9,1,5.4
19510125,1.1,-1,3.1
19510126,1.2,-0.8,3.1
19510127,3.3,0.7,6.3
19510128,0.4,-1.3,2
19510129,0.1,-0.9,1.1
19510130,0.7,-0.5,2.6
19510131,0,-1.2,0.9
19510201,1.2,-0.7,3.2
19510202,1.3,-1.8,3.8
19510203,0.4,-1.4,2.4
19510204,4.3,0.2,8.7
19510205,6.2,3.7,8.8
19510206,4.5,2.1,6.7
19510207,3.4,0.8,6.5
19510208,6,1.6,11.1
19510209,9.5,6.4,12.2
19510210,4.6,1.6,6.9
19510211,3.4,0.8,5.5
19510212,5.1,2.2,10.7
19510213,2.6,0,5.3
19510214,1.6,-0.1,4.7
19510215,3.3,0.2,5
19510216,2.4,-1.6,5.7
19510217,5.5,2,8.2
19510218,3.5,1.2,5.8
19510219,4.1,1.6,7.1
19510220,5.1,1.8,8.6
19510221,4.2,0.9,6.4
19510222,3.8,0.9,8.5
19510223,3.4,0.7,6.1
19510224,3.5,0.3,6.9
19510225,3.8,0.3,10
19510226,2.4,-1.5,7.1
19510227,0.8,-2.2,4.7
19510228,-0.8,-3.9,2.6
19510301,-0.4,-5.1,2.1
19510302,0.1,-2.5,3.5
19510303,-0.6,-3.7,4.1
19510304,0.1,-4.8,6.6
19510305,0.2,-5.8,7.3
19510306,2.2,-2.9,8.4
19510307,3.4,-2.3,11.7
19510308,0.6,-1.3,2.5
19510309,0.2,-2.1,1.7
19510310,0.2,-2,2.2
19510311,4.5,1.2,10.6
19510312,5.8,2.9,10.1
19510313,10,4.5,16.5
19510314,7.6,5.1,9.7
19510315,6.4,1.8,10
19510316,7.2,0.5,13.4
19510317,11.3,8.1,13.6
19510318,9.3,5.7,12.5
19510319,4,-1.2,7.5
19510320,1.2,-2,5.5
19510321,2.5,-3.2,8.2
19510322,4.9,1.9,9.5
19510323,7.5,2.2,9.3
19510324,3.4,-0.1,6.9
19510325,1.5,-1.4,5.5
19510326,2.8,-0.1,6.1
19510327,3.4,-1.7,7.6
19510328,1,-1.5,4.5
19510329,0.9,-1.8,6.3
19510330,2.7,-2.9,8.8
19510331,2.7,-0.3,6.5
19510401,6,2.3,11.9
19510402,6.2,2.1,9.3
19510403,5.5,1.9,10
19510404,6.8,2.6,11.9
19510405,6.3,2.5,11.7
19510406,7.8,2.8,12
19510407,9.8,4.4,12.8
19510408,5,3.1,7.7
19510409,6,2.6,8.5
19510410,4.9,3.2,5.9
19510411,4,0.5,8.4
19510412,6.4,-0.4,10.9
19510413,7.5,3.5,12.3
19510414,4.1,1.5,7.8
19510415,5.9,-0.4,11.2
19510416,8,3.6,14.7
19510417,5.1,0.7,8.9
19510418,7.9,-1.1,14.9
19510419,8,0.9,12.6
19510420,5.5,-1,13.2
19510421,3.4,-1.4,8.2
19510422,6.3,-2.5,14.7
19510423,10.3,-0.3,18.9
19510424,14.3,5.1,22.6
19510425,17.4,8,26.5
19510426,14.9,6.8,24.6
19510427,7.3,4.8,10.2
19510428,NA,NA,NA
19510429,NA,NA,NA
19510430,7.7,1,12.5
19510501,10.5,2.2,17.2
19510502,13,6.8,21.2
19510503,14.2,5.7,21.6
19510504,14.6,9.1,22.6
19510505,12.7,9.2,16.9
19510506,14,6.6,20.6
19510507,12.1,8.7,16.3
19510508,10.7,7.8,14.1
19510509,10.4,8.4,13.5
19510510,11,5.6,16.4
19510511,10,4.6,16
19510512,10.2,3,17.3
19510513,8.2,1.7,13.7
19510514,8,5.5,10.7
19510515,8.3,5.1,12.5
19510516,7.7,4.9,11.4
19510517,10.1,2.5,15.8
19510518,13.3,7.2,19.6
19510519,16.4,8.3,24
19510520,17.1,9.7,24.2
19510521,11.4,9.5,12.7
19510522,11.8,6.5,17.2
19510523,13.5,8.9,19
19510524,14.8,7.3,21.7
19510525,14.9,10.6,19.8
19510526,14.9,10.1,21.3
19510527,13.8,10.3,16.1
19510528,11.4,7.7,15.2
19510529,10.3,5.6,15.1
19510530,10.1,3.9,14.9
19510531,12.7,4.3,19.1
19510601,15.3,6.7,22
19510602,16.9,8.7,23.2
19510603,14.5,10.8,19.8
19510604,14.4,8.7,21.1
19510605,15.3,8.1,22.7
19510606,14.6,6.9,21.5
19510607,11.8,5.1,18.1
19510608,14.5,6.6,21.5
19510609,16.6,8.2,22.9
19510610,13.7,10.5,17.2
19510611,15.6,10.1,20.9
19510612,16.7,11.3,21.9
19510613,15.7,13.1,19.7
19510614,20.2,14.4,26.4
19510615,17.3,11.5,23.1
19510616,17,8.5,23.4
19510617,17.7,12.9,23.9
19510618,15,10.9,19.8
19510619,14,8.7,19.5
19510620,15.2,6.3,21.9
19510621,19.3,10.8,25.9
19510622,18,15.3,23.1
19510623,18.3,14.1,23.3
19510624,14.8,12.8,18
19510625,15.2,12.3,18.5
19510626,13.1,10.1,16.7
19510627,12.3,10.4,14.7
19510628,13.1,10.3,15.7
19510629,12.6,9.6,15.8
19510630,12.7,8.5,16.3
19510701,14.5,6.3,21.5
19510702,17.5,9.8,24.1
19510703,18.1,13.3,23.4
19510704,13.8,10.2,19.6
19510705,12.1,7.9,16.4
19510706,15,7,19.7
19510707,18.4,13.7,23.5
19510708,19,11.8,25.5
19510709,17.9,15.5,21.1
19510710,20.2,15.1,24.3
19510711,20.7,16.2,25.5
19510712,17.7,14.6,21.4
19510713,16.9,11.2,21.2
19510714,15.4,9.3,20.8
19510715,12,10.9,13.6
19510716,15,9.4,20.2
19510717,17.5,10.3,23.7
19510718,15,10.1,20.2
19510719,15.1,9,20.1
19510720,16.9,11.5,21.4
19510721,15.3,10.5,20.9
19510722,18.5,10.1,25.1
19510723,18.2,15.3,22.1
19510724,15.9,14.5,18
19510725,15.7,13.4,18.5
19510726,15.7,11.8,18.7
19510727,17.4,10.4,24.2
19510728,20.2,14.2,26.5
19510729,17.7,11.8,23.2
19510730,18.9,11.9,25.5
19510731,22.2,14.6,30.1
19510801,21.6,16.7,29
19510802,19.8,16.1,25.1
19510803,22,14.3,28.3
19510804,20.1,16.8,24.3
19510805,17.6,13.3,22.4
19510806,19.7,12.3,25.9
19510807,19.4,15.8,23.1
19510808,17.2,14.2,21.9
19510809,16.1,14.1,19.3
19510810,14.6,11.3,17.1
19510811,15,10.9,18.2
19510812,15.6,12.2,20.4
19510813,14.2,10.7,19
19510814,13.5,10,17.4
19510815,14.1,10.1,18.2
19510816,12.8,6.4,17.6
19510817,15.1,9,21.5
19510818,16.7,13.3,21.6
19510819,18.5,12.3,25.1
19510820,16.7,13.2,20.9
19510821,16.1,11.5,21.9
19510822,16.9,11,22.5
19510823,17.2,12.4,21.4
19510824,17.9,10.3,25.1
19510825,16.4,12.9,20.9
19510826,16.8,11.2,22
19510827,15.6,12.4,19.9
19510828,16.9,13.7,20.2
19510829,19.8,16.2,23.7
19510830,20.4,15.1,29.1
19510831,16,11.9,21
19510901,14.9,11.7,19.1
19510902,14.9,12.2,18.6
19510903,14.7,11.5,19
19510904,17,11.6,20.6
19510905,21,16.7,27
19510906,20.2,13.9,27.2
19510907,18.2,15.1,24.2
19510908,16.5,13.2,20
19510909,17.8,11.2,24.6
19510910,19.6,13.3,26.2
19510911,19.9,17.1,24.6
19510912,21.6,14.8,28.2
19510913,22.1,14.3,29.1
19510914,15.3,12.5,19.9
19510915,16.8,11.3,21.7
19510916,14.7,10.7,18.4
19510917,12.3,9.1,15.9
19510918,11.4,9.1,13.5
19510919,10.5,6.3,15
19510920,10.1,6.5,15.2
19510921,10.6,6.5,15.7
19510922,11.8,4.9,19.6
19510923,14.7,8.9,19.4
19510924,13.8,11.2,17.7
19510925,14.5,9.3,20.5
19510926,13.5,10.1,17.7
19510927,13.8,10.4,18.5
19510928,14.4,10,18.7
19510929,14.4,10.6,20.7
19510930,12.8,9.9,15.7
19511001,13.4,9.8,18.1
19511002,12.3,7.3,16.7
19511003,11.5,4.9,18.8
19511004,12.4,6.9,20.7
19511005,10.9,4,17.9
19511006,9.7,4.7,16.1
19511007,6.8,1.9,13.3
19511008,7.7,1.5,15.7
19511009,8.9,2.6,17.3
19511010,8.7,2.6,17.6
19511011,8.1,2.3,15.4
19511012,8.9,2.5,16.9
19511013,9.6,3.1,17.8
19511014,10.5,4.5,19.5
19511015,7.3,0.3,16.3
19511016,7.9,1.9,16.1
19511017,6.1,-0.1,14.7
19511018,7.1,2.7,12.6
19511019,4.9,1,10.4
19511020,6.2,3.8,9.1
19511021,8,3.4,11.8
19511022,7.2,2.3,9.8
19511023,4,-2.1,10.6
19511024,4.3,0.6,10.9
19511025,5.9,-0.8,12.2
19511026,8.7,5.5,12.2
19511027,8.1,3.6,14.7
19511028,9.1,3.5,15
19511029,10.1,6.3,14.5
19511030,10.7,6.6,14.4
19511031,10,7.3,11.8
19511101,7.5,4.6,11
19511102,7.2,2.8,11
19511103,6.9,3.1,10.3
19511104,5.1,1.7,10
19511105,7.6,4.8,11.5
19511106,8.9,6.5,12.7
19511107,10.3,6.7,14.3
19511108,10.6,7.1,14.9
19511109,11,8.1,15.3
19511110,10.9,7.9,14.1
19511111,9.8,5.8,14.2
19511112,7.1,4.3,9.2
19511113,8.5,6.8,9.6
19511114,7.2,3.8,9.2
19511115,8,4.7,10.8
19511116,10.5,8.8,12.1
19511117,10,8,11.7
19511118,11.7,8.3,14.6
19511119,9.4,7,12.9
19511120,8.6,6.7,9.9
19511121,8.1,5.8,10.5
19511122,6,4.1,7.8
19511123,5.7,4.1,7.5
19511124,11.4,6.6,13.9
19511125,6.7,1.4,12.4
19511126,3.5,1.1,7.2
19511127,5.8,3.1,8.5
19511128,6,1.2,8.2
19511129,5.4,1.8,10.1
19511130,9.1,7.6,10.5
19511201,7,2.4,9.7
19511202,3.7,0.9,8
19511203,2.9,-0.5,6.6
19511204,8.3,3,11
19511205,9.3,7.9,10.5
19511206,5.5,2.5,8.9
19511207,3.3,0.6,5.9
19511208,6.3,3.8,8.3
19511209,6.8,3.5,9
19511210,2.5,0,6
19511211,1.7,-0.7,5.4
19511212,-0.9,-3.1,1.7
19511213,-1.5,-4.9,4.1
19511214,-0.4,-3.7,3.7
19511215,3.2,-0.4,6.1
19511216,7,5.1,8.5
19511217,7.2,6.1,8.2
19511218,5.2,2.3,6.9
19511219,3.8,2,5.9
19511220,4.6,1.4,9.5
19511221,5.3,3.2,7.2
19511222,5.2,0.7,7.6
19511223,3.9,0.3,6.9
19511224,6.8,3.4,9.9
19511225,8,5.7,10
19511226,5.1,2.9,7
19511227,4.1,2.7,5.4
19511228,3.8,2.1,5.1
19511229,2.6,0.4,6.8
19511230,3.4,1,6.5
19511231,3.2,0,5.4
19520101,1.9,-0.1,4.2
19520102,4.5,1.1,8.8
19520103,2.4,0.5,5.6
19520104,2.3,0.3,5.4
19520105,2.2,0.4,4.5
19520106,3.4,0,5.9
19520107,5.9,4.8,7
19520108,5.5,3.5,7.1
19520109,4,1.3,6.3
19520110,3.4,0.7,8.1
19520111,4.5,0.3,8.5
19520112,1.4,-1.5,4.7
19520113,1.7,-1.1,5
19520114,3.8,0.1,7
19520115,6.1,1.6,9.7
19520116,3.1,-0.1,5.9
19520117,1.3,-0.6,4.1
19520118,1.6,0.1,3.6
19520119,0.9,-1.2,2.6
19520120,0.5,-0.7,1.8
19520121,1.1,0.1,2.4
19520122,0.9,-0.7,2.3
19520123,-1.1,-2.2,0.1
19520124,-0.8,-1.7,0
19520125,-1.5,-3.5,-0.4
19520126,0,-3.6,2.8
19520127,-1.4,-2.9,0.6
19520128,-2.5,-4.9,0.7
19520129,1.1,-1.5,2.4
19520130,1.3,-0.1,2.4
19520131,0.9,-1.2,3.1
19520201,0.9,-0.9,2.3
19520202,1,-1.1,3.4
19520203,0.7,-0.7,2
19520204,1.2,-1.2,4
19520205,2.1,-1.4,5.9
19520206,2.9,0.4,5
19520207,4.8,3.3,6.2
19520208,2.5,-0.3,5.6
19520209,0.3,-1.5,3.5
19520210,0,-1.3,2.6
19520211,0.9,-2.7,3.8
19520212,-1,-3.5,3
19520213,-0.4,-3.3,2.7
19520214,-0.7,-3.3,1.9
19520215,-2,-6.1,2.8
19520216,-1.2,-6.5,3.5
19520217,0.9,-1.3,3.3
19520218,0.2,-1.9,2.4
19520219,2.4,-0.7,5.4
19520220,4.7,2.7,7
19520221,5.6,3.7,7.4
19520222,4.8,2.3,6.8
19520223,3.1,1.3,6.2
19520224,5.3,1.3,9.2
19520225,6.5,4.5,9.2
19520226,4.6,-0.9,10.6
19520227,2.8,-1.4,8
19520228,2.5,0.2,4.6
19520229,3,-0.1,5.7
19520301,3.8,2.5,5
19520302,7,2.6,11.7
19520303,9.5,5.2,14.4
19520304,10.7,5,17.2
19520305,7.8,4.7,12.4
19520306,3.9,-0.7,7.4
19520307,1.4,-2.5,6.6
19520308,2.3,-2.3,6.3
19520309,5.4,-1.7,11.3
19520310,6.2,3.8,7.8
19520311,4.5,1.4,6.9
19520312,3.7,1.1,5.7
19520313,2.7,-2.5,5.5
19520314,0.7,-4.7,7.1
19520315,2.4,-4.1,9.5
19520316,6.7,-1.9,13.5
19520317,9.1,2.5,14.9
19520318,7.9,1.3,14.8
19520319,7.5,1.7,15
19520320,6.9,2.9,10.7
19520321,4.9,2.4,6.4
19520322,6.5,2.5,11.8
19520323,5.5,1.1,9.4
19520324,6,3.9,8.8
19520325,4,0.1,5.9
19520326,0.2,-3.3,1.9
19520327,-0.4,-5.4,5.5
19520328,-0.2,-2.8,3
19520329,-1.2,-2.7,0.9
19520330,-0.6,-2.7,1.1
19520331,-0.3,-1.8,1.2
19520401,0.9,-4.3,5.8
19520402,1.7,-1.4,6.2
19520403,3.1,-1.6,7.2
19520404,5.8,0.5,11.4
19520405,5.7,0,11
19520406,8.5,3.9,13.8
19520407,10.4,7.1,13.6
19520408,10.7,6.5,16.2
19520409,14.3,6.7,21.9
19520410,16.1,9.5,22.5
19520411,16.8,10.8,23.3
19520412,15.7,6.7,23.8
19520413,14.8,9.7,20.2
19520414,14.5,5.8,21.5
19520415,16.2,8.2,23.4
19520416,14.1,6.9,23.2
19520417,14.3,6.5,22.8
19520418,15.8,6,24
19520419,14.2,5.3,22
19520420,12.6,7.7,17
19520421,13,7.5,17.1
19520422,11.8,7,15.3
19520423,10.3,5.2,15.3
19520424,9,3,15.9
19520425,7.8,2.1,14.1
19520426,5.7,-0.6,10.9
19520427,5.8,-1.5,10.9
19520428,6.9,2.3,11.3
19520429,9.8,4,16.5
19520430,15.4,5.3,24.1
19520501,17.8,9.5,25.4
19520502,14.9,7.8,21.9
19520503,14.6,7.2,23.7
19520504,13.4,9.3,19.8
19520505,13.6,9.5,18.5
19520506,15.9,9,21.7
19520507,13.9,9,18
19520508,15.3,7.7,22.3
19520509,13.9,8.5,19.9
19520510,13.1,6.4,20.3
19520511,14.2,9.6,20.8
19520512,11.1,7,15.8
19520513,10.9,5.9,17
19520514,12.6,4.7,18.8
19520515,14.9,10.2,20
19520516,14,8.9,19.6
19520517,12.8,6.9,19
19520518,15.1,9.7,20.7
19520519,12.7,6,19.9
19520520,9.2,1.9,15.3
19520521,10.7,NA,NA
19520522,11,3.5,17.5
19520523,11.6,6.1,16.6
19520524,10.5,6.1,14.2
19520525,11.5,5.5,15.5
19520526,11.4,7.9,14.9
19520527,11,7.9,14.6
19520528,11,5.4,15
19520529,9.7,5,14
19520530,13,7.9,17.3
19520531,15.9,11.9,21
19520601,17.4,14,23.2
19520602,15.5,12,18.1
19520603,12.6,7.6,16.8
19520604,13.1,6.2,19.9
19520605,17.5,7.8,24.9
19520606,17.2,13.7,22.6
19520607,12.3,6.3,16.7
19520608,11.4,4.7,16.8
19520609,12.2,7.7,17.8
19520610,14.1,5.3,20.9
19520611,14.7,11.3,18
19520612,15.3,11.6,21.3
19520613,18.6,8.1,26.2
19520614,16,13.2,19.2
19520615,10.4,6.2,14.2
19520616,11.5,4.8,17.6
19520617,17.2,7.9,23.8
19520618,15.6,12.1,19.3
19520619,12.7,9,17.2
19520620,13.1,7.8,17.6
19520621,12.7,10.4,16.4
19520622,13,10.6,14.8
19520623,12.1,7.7,17
19520624,13.3,8.1,18
19520625,14.4,11.5,17.5
19520626,13.3,9.1,18.5
19520627,16.9,8.7,24
19520628,19.7,10.5,27
19520629,21.8,14.9,29.5
19520630,22.2,14.1,29
19520701,23.3,13.8,30.5
19520702,24.6,18.3,31.8
19520703,18.5,13.8,23.4
19520704,15.7,12.7,19.1
19520705,20.4,12.2,27
19520706,23.6,17.1,30.7
19520707,22.1,16.8,28.3
19520708,22.5,16.9,29.3
19520709,16.9,15.2,19.1
19520710,19.1,15.2,23.9
19520711,20,14,25.8
19520712,15.4,11.1,18.7
19520713,16,10.4,20.1
19520714,15.6,12.8,17.9
19520715,13.8,9.8,17.3
19520716,14.3,8.7,18.4
19520717,14.9,11.4,18
19520718,15.2,12.1,18.7
19520719,16,12.7,18.3
19520720,17.3,12.3,21.9
19520721,15.6,7.9,21.8
19520722,19,11.9,25.9
19520723,14.7,11.6,18.3
19520724,14.7,9.5,19.7
19520725,14.5,7.5,18.7
19520726,16.2,10.1,21.6
19520727,14.5,9.3,20.7
19520728,12.4,9.4,16.1
19520729,13.8,9.5,19.5
19520730,14.9,10.5,19.1
19520731,17.8,13.4,23
19520801,19.3,14.7,25.3
19520802,19.6,14.1,25.9
19520803,17.1,14.1,22.3
19520804,17,12.3,22.5
19520805,19.8,14.3,25.9
19520806,17.8,13.1,22.6
19520807,18.1,14.2,21.8
19520808,17.2,14.4,21.2
19520809,18,14.9,23
19520810,16.4,14,19.5
19520811,18.5,12.7,23.3
19520812,22.8,17.8,29.6
19520813,19.9,14.6,24.1
19520814,17.4,13,22.8
19520815,18.8,14.6,23.9
19520816,16.7,12.5,21.4
19520817,15.3,12.3,19.5
19520818,15.6,10.1,21.3
19520819,14.6,12.1,17.1
19520820,14.8,11.9,16.5
19520821,14.8,10.9,17.9
19520822,13.7,10.7,18.3
19520823,15.7,9.4,21.8
19520824,17.2,13.3,21.3
19520825,16.9,13.3,21.1
19520826,15.4,12.4,20.2
19520827,18.2,13.5,22.6
19520828,16,11.2,19.2
19520829,16.2,12,21.8
19520830,18.4,11.9,24.7
19520831,18.6,15.7,22.6
19520901,17.6,11.9,22.2
19520902,14.2,9.9,19.4
19520903,13.1,9.7,16.2
19520904,12.4,9,16
19520905,11.2,7.1,16.4
19520906,10,5.3,15
19520907,10.7,5.4,16.8
19520908,11.4,6.4,16.7
19520909,10.2,3.7,15.1
19520910,11.5,6.9,17.3
19520911,10.6,4.9,16.7
19520912,11.3,5.5,16.9
19520913,11.1,6.1,15.1
19520914,10.9,6.1,16.3
19520915,12.1,6.5,18.4
19520916,11.3,4.3,18.6
19520917,10.4,3.9,16.8
19520918,8.9,5.4,13.2
19520919,6.7,3.1,11.3
19520920,7.6,2.3,11.8
19520921,9.9,7.5,13.3
19520922,10.3,7,13.2
19520923,13.7,10.4,16.4
19520924,14.4,12.4,16.5
19520925,12,9.6,14.8
19520926,10.8,8.5,13.7
19520927,9.9,6.6,13.9
19520928,9.9,6.7,14.7
19520929,9.4,6.6,13.5
19520930,9.9,6.4,13
19521001,11.9,9.7,15
19521002,10,8.7,11.8
19521003,9.1,4.5,11.9
19521004,8.7,3.9,13.3
19521005,8.5,5.6,12.2
19521006,8.4,4,12.8
19521007,9.3,6,12.8
19521008,7.9,3.7,12.2
19521009,9.2,6,12.5
19521010,6.9,3.6,11.9
19521011,6,1.1,11.6
19521012,4,-1.4,10.8
19521013,3.8,-0.1,7.8
19521014,4.7,2.9,7.5
19521015,6.1,3.5,9.5
19521016,7.1,4.8,10.9
19521017,7.6,3.3,11.8
19521018,7.4,2.4,11.1
19521019,4.6,0.9,9.8
19521020,4.2,0.7,8
19521021,4,2.4,5.3
19521022,5.6,3.2,9.1
19521023,9.2,6.1,13.1
19521024,10.3,6.4,14.9
19521025,11.2,7.9,14.7
19521026,10.1,7,13.2
19521027,10.7,6.2,14.8
19521028,13.7,10.8,17.7
19521029,12.3,9.4,14.5
19521030,8.3,6.1,11.6
19521031,6.6,3.2,10.5
19521101,5.2,0.6,8.3
19521102,7.3,4.5,10.5
19521103,6.1,1.9,9.1
19521104,6.6,2.8,9.9
19521105,8,6.2,9.7
19521106,7.1,4.9,9.2
19521107,5,2.1,10
19521108,3.8,1.6,6.7
19521109,4.5,1.2,8.5
19521110,6.5,4,9.7
19521111,3.2,-0.9,7
19521112,1.6,-1.9,7.2
19521113,2.4,-0.1,5.4
19521114,0.4,-1.7,2.5
19521115,-0.6,-2.2,1
19521116,-0.7,-2.1,0.7
19521117,-2.5,-4.9,-0.7
19521118,-1.1,-2.2,0.4
19521119,2.8,0,4.7
19521120,0.4,-1.5,3.1
19521121,2.5,-0.2,5.3
19521122,5.1,3.4,7.8
19521123,3.4,1.6,5.2
19521124,0,-2.9,2.3
19521125,-0.4,-3.7,3.7
19521126,-1.8,-4.5,0.5
19521127,-0.5,-2.1,1
19521128,-1.2,-3.5,0.5
19521129,-2.1,-4.1,-0.1
19521130,-2.1,-5.7,-0.2
19521201,-4.1,-7.2,-0.7
19521202,-5.5,-8,-1.1
19521203,1.5,-1.8,3.4
19521204,-1.3,-5.1,2.2
19521205,1.3,-1,3.6
19521206,0.9,-2,3.5
19521207,1.1,-0.8,2.6
19521208,-0.8,-5,3
19521209,-3.7,-6.1,-2.2
19521210,-2.6,-5,1.2
19521211,0.3,NA,NA
19521212,3.3,0.6,5.4
19521213,0.8,-0.3,2.1
19521214,1,-0.4,2.4
19521215,0.1,-2.4,1.4
19521216,-1,-2.7,1.2
19521217,2.6,0.5,4.5
19521218,0.6,-3.6,3.1
19521219,-1.3,-4.7,1.5
19521220,4.3,0.6,7.2
19521221,4.1,1.8,6.2
19521222,3.4,1.2,4.7
19521223,4.8,2.4,7
19521224,7.3,2.9,10.6
19521225,5.5,2.9,8
19521226,4.8,2.6,6.5
19521227,3.4,1.2,4.8
19521228,1.6,-1.3,5.2
19521229,0.5,-1.7,2.2
19521230,-1.5,-3.9,0.7
19521231,-1.4,-4.1,0
19530101,-1.2,-3.3,1.7
19530102,-0.5,-2.5,2.3
19530103,-2.3,-3.9,-0.6
19530104,-0.9,-2.2,-0.1
19530105,-2.5,-3.5,-1.5
19530106,-2.7,-5.7,-1.1
19530107,-2.9,-5.8,-0.3
19530108,-1.4,-3.6,0.4
19530109,-0.2,-3.4,2.3
19530110,0.5,-3.3,4.2
19530111,-3,-6,0
19530112,-0.2,-2,0.7
19530113,-1.2,-2.9,0.5
19530114,-2.8,-4.8,-0.7
19530115,-1.2,-2.7,0.2
19530116,0.8,-0.4,2
19530117,2,0.7,3.9
19530118,1.4,-0.9,2.6
19530119,3.1,-0.5,5.9
19530120,3.4,1.7,5.7
19530121,2.5,0.9,4.2
19530122,3.6,1.8,4.9
19530123,3.4,1.7,4.5
19530124,0.8,-1.3,3.3
19530125,0.4,-1.1,2
19530126,1.8,0.5,3.5
19530127,4.9,0.2,8.5
19530128,8.9,7.3,11.1
19530129,8.4,7.3,9.5
19530130,7.2,5.3,8.5
19530131,4.6,0.7,8.8
19530201,3,1.7,5.4
19530202,0.3,-1,2.5
19530203,-0.3,-1.9,0.7
19530204,-0.6,-4,1.8
19530205,-1.1,-5.6,1.5
19530206,-4.6,-10.1,-2.3
19530207,-8.4,-11,-4.4
19530208,-6.8,-12.2,-1.7
19530209,0,-3.3,3.1
19530210,2.3,0.6,3.9
19530211,2.4,0.6,4.6
19530212,-1.3,-3.5,1.8
19530213,-2.6,-4.3,-1.3
19530214,-3.4,-7.1,0.2
19530215,-4.3,-9.2,-0.3
19530216,-3.3,-7.3,1.4
19530217,-0.3,-5,3.3
19530218,4,1.8,6
19530219,5.7,4.2,7.4
19530220,6.4,4.8,8.9
19530221,7.2,4.9,8.9
19530222,8.2,6.8,9.8
19530223,7.4,6.2,8.4
19530224,7.7,5.7,10.4
19530225,7.5,3.8,11.9
19530226,7.7,1.7,15.1
19530227,6.4,0.4,13.2
19530228,2.8,-0.4,9.1
19530301,2.4,-3.2,11.1
19530302,2.5,-5.6,13.1
19530303,0.8,-4.8,5
19530304,4.4,2.6,8.5
19530305,5.2,3.1,7.2
19530306,4.7,3.7,5.6
19530307,3.7,-1.1,7.1
19530308,0.8,-3.9,6.9
19530309,4,-1.7,9.9
19530310,2.8,-0.7,8.3
19530311,4.1,1.4,6.3
19530312,3.2,-0.8,7.5
19530313,2,-1.8,6.5
19530314,3.3,-1.2,9.3
19530315,4.4,-3.3,12.5
19530316,6.4,0.5,13.1
19530317,4.6,-1.4,13.2
19530318,3.8,-0.3,10.2
19530319,4.6,-2.3,14.1
19530320,4.3,-1.2,14.8
19530321,2.2,-0.1,3.9
19530322,2.6,0.9,4.1
19530323,2.9,1.3,4.7
19530324,6.5,-0.7,15.2
19530325,10,2,18.9
19530326,11.4,6,19.8
19530327,3.9,0.3,7.3
19530328,6.4,0.6,10.8
19530329,11.4,9.9,12.9
19530330,11,4.9,17.6
19530331,5.6,3.9,8.7
19530401,7.2,2.9,11.2
19530402,11.4,7.3,14.9
19530403,11.3,8,15.1
19530404,8.4,5.6,12.7
19530405,7.9,4.2,12.8
19530406,6.9,3,12.2
19530407,6,1.3,9.5
19530408,6.9,0.6,13.6
19530409,7.3,4.1,13.1
19530410,6.7,2,12.3
19530411,9.7,1,16.7
19530412,13.8,8.5,19.3
19530413,8.7,4,12.5
19530414,5.9,2.4,10.4
19530415,6,2.9,9
19530416,7.4,4.3,10.8
19530417,10,5.5,14.8
19530418,11.2,5.3,17.4
19530419,7.6,2.5,13.8
19530420,8.9,1.1,16.2
19530421,11,2.5,19.5
19530422,10.3,3.3,18.6
19530423,11.4,2.5,20.7
19530424,8.7,1.5,16.9
19530425,8.1,4.9,11.9
19530426,9.6,4.1,15.5
19530427,12.5,5.8,21.9
19530428,10.9,7.8,15.1
19530429,8.2,5,12.6
19530430,11.7,4.4,17.5
19530501,15.2,7.1,22.1
19530502,17.3,9.4,24.6
19530503,15.9,6.9,25
19530504,9.8,4,17.3
19530505,9.5,7,13.2
19530506,7.4,4.8,10.9
19530507,7.6,4.1,12.2
19530508,7.3,2,12.3
19530509,6,1.2,9.8
19530510,5.9,-1.4,11.6
19530511,6.8,-0.7,12.5
19530512,9,4.1,13.1
19530513,10.6,6.7,15.6
19530514,13.2,4.4,21.7
19530515,15.9,9.5,20.4
19530516,19.6,12.9,28.1
19530517,16,10.9,22.2
19530518,17.1,9.3,21.7
19530519,20.3,12.1,30.4
19530520,15.6,9.1,21.2
19530521,18.7,9.4,26.5
19530522,18.5,12.8,24.2
19530523,20.3,13.1,26.4
19530524,19.1,13.3,25.4
19530525,20.3,12.1,26.9
19530526,16.8,9.9,26.1
19530527,12.9,8.3,17.4
19530528,9.9,6.9,13.2
19530529,10.5,5.8,14.5
19530530,9.1,5.3,12.3
19530531,9.4,6.3,12.4
19530601,8.9,5.2,14.1
19530602,7.9,4.6,11.5
19530603,9.8,5.9,14.3
19530604,10.4,5.3,15.1
19530605,11.2,5.5,16.8
19530606,10.6,3.1,16.8
19530607,14.9,6.1,22.5
